,year,mytoday,city,nowTemp,sensTemp,humidity,precipitation,weatherInfo
0,2019년,1,강릉,22.3,21.8,41,0.0,0.0
1,2019년,1,광주,19.3,19.5,48,0.0,구름많음
2,2019년,1,대구,21.1,20.8,43,0.0,흐림
3,2019년,1,대전,20.4,20.9,53,0.0,연무
4,2019년,1,백령도,12.9,15.0,76,0.0,맑음
5,2019년,1,부산,19.6,20.7,61,0.0,흐림
6,2019년,1,서울,20.0,20.0,46,0.0,연무
7,2019년,1,울릉도,14.5,17.1,85,0.0,구름많음
8,2019년,1,전주,17.9,18.9,59,0.0,구름많음
9,2019년,1,제주,17.0,17.8,56,0.0,흐림
10,2019년,1,청주,20.8,20.9,48,0.0,연무
11,2019년,1,춘천,21.6,21.2,42,0.0,0.0
12,2019년,2,강릉,21.1,20.0,33,0.0,0.0
13,2019년,2,광주,20.9,20.5,42,0.0,맑음
14,2019년,2,대구,22.6,20.6,25,0.0,맑음
15,2019년,2,대전,20.5,20.0,40,0.0,맑음
16,2019년,2,백령도,20.3,17.9,19,0.0,맑음
17,2019년,2,부산,18.8,19.4,54,0.0,맑음
18,2019년,2,서울,21.7,19.1,19,0.0,맑음
19,2019년,2,울릉도,17.7,18.8,60,0.0,맑음
20,2019년,2,전주,19.2,19.5,49,0.0,맑음
21,2019년,2,제주,18.5,19.5,60,0.0,맑음
22,2019년,2,청주,20.3,19.7,39,0.0,맑음
23,2019년,2,춘천,21.5,20.0,29,0.0,0.0
24,2019년,3,강릉,19.3,20.3,59,0.0,0.0
25,2019년,3,광주,23.3,22.2,35,0.0,맑음
26,2019년,3,대구,24.7,21.7,19,0.0,맑음
27,2019년,3,대전,23.3,21.5,28,0.0,맑음
28,2019년,3,백령도,15.2,16.7,67,0.0,맑음
29,2019년,3,부산,22.9,21.5,32,0.0,맑음
30,2019년,3,서울,23.2,20.9,23,0.0,맑음
31,2019년,3,울릉도,17.6,17.1,38,0.0,맑음
32,2019년,3,전주,22.9,22.4,41,0.0,맑음
33,2019년,3,제주,20.5,21.1,54,0.0,맑음
34,2019년,3,청주,22.7,20.9,27,0.0,맑음
35,2019년,3,춘천,21.9,19.6,22,0.0,0.0
36,2019년,4,강릉,19.5,20.5,59,0.0,0.0
37,2019년,4,광주,25.2,23.2,28,0.0,구름많음
38,2019년,4,대구,26.1,23.9,27,0.0,맑음
39,2019년,4,대전,24.3,23.4,38,0.0,흐림
40,2019년,4,백령도,17.5,18.6,60,0.0,구름많음
41,2019년,4,부산,22.2,22.7,53,0.0,구름조금
42,2019년,4,서울,24.3,22.4,28,0.0,연무
43,2019년,4,울릉도,16.8,19.1,79,0.0,구름많음
44,2019년,4,전주,24.2,23.5,40,0.0,구름많음
45,2019년,4,제주,22.8,21.4,32,0.0,구름많음
46,2019년,4,청주,23.4,22.1,33,0.0,연무
47,2019년,4,춘천,22.4,21.2,33,0.0,0.0
48,2019년,5,강릉,26.8,23.1,16,0.0,0.0
49,2019년,5,광주,25.1,23.1,28,0.0,맑음
50,2019년,5,대구,26.2,23.9,26,0.0,구름조금
51,2019년,5,대전,25.6,24.5,37,0.0,구름조금
52,2019년,5,백령도,19.1,17.8,29,0.0,맑음
53,2019년,5,부산,22.0,22.0,47,0.0,구름많음
54,2019년,5,서울,25.2,21.9,17,0.0,맑음
55,2019년,5,울릉도,20.2,21.9,70,0.0,구름많음
56,2019년,5,전주,24.8,24.5,45,0.0,맑음
57,2019년,5,제주,21.0,21.3,51,0.0,맑음
58,2019년,5,청주,25.0,22.9,27,0.0,구름조금
59,2019년,5,춘천,23.8,22.3,31,0.0,0.0
60,2019년,6,강릉,13.7,13.6,39,2.0,0.0
61,2019년,6,광주,18.2,17.0,29,0.0,구름조금
62,2019년,6,대구,19.6,17.9,25,0.0,맑음
63,2019년,6,대전,18.2,16.8,27,0.0,맑음
64,2019년,6,백령도,12.9,12.8,38,0.0,맑음
65,2019년,6,부산,18.7,19.9,63,0.0,구름조금
66,2019년,6,서울,17.9,15.3,14,0.0,맑음
67,2019년,6,울릉도,12.8,13.9,59,0.0,구름조금
68,2019년,6,전주,17.9,17.3,37,0.0,맑음
69,2019년,6,제주,17.5,17.4,43,0.0,구름조금
70,2019년,6,청주,18.0,16.1,21,0.0,맑음
71,2019년,6,춘천,17.8,15.1,13,0.0,0.0
72,2019년,7,강릉,21.8,18.7,15,0.0,0.0
73,2019년,7,광주,18.9,16.7,19,0.0,맑음
74,2019년,7,대구,19.3,17.0,19,0.0,맑음
75,2019년,7,대전,20.2,18.4,25,0.0,맑음
76,2019년,7,백령도,18.4,17.0,27,0.0,맑음
77,2019년,7,부산,19.4,18.8,38,0.0,맑음
78,2019년,7,서울,20.0,18.4,27,0.0,맑음
79,2019년,7,울릉도,17.1,17.9,56,0.0,맑음
80,2019년,7,전주,18.7,17.5,30,0.0,맑음
81,2019년,7,제주,17.2,17.8,53,0.0,맑음
82,2019년,7,청주,20.2,18.2,23,0.0,맑음
83,2019년,7,춘천,20.2,18.3,24,0.0,0.0
84,2019년,8,강릉,24.7,21.4,17,0.0,0.0
85,2019년,8,광주,20.3,18.1,21,0.0,구름많음
86,2019년,8,대구,22.4,19.4,17,0.0,구름많음
87,2019년,8,대전,21.6,19.7,25,0.0,구름조금
88,2019년,8,백령도,18.9,18.7,43,0.0,구름많음
89,2019년,8,부산,21.1,19.1,24,0.0,구름많음
90,2019년,8,서울,19.6,19.0,38,0.0,구름많음
91,2019년,8,울릉도,19.4,19.1,41,0.0,구름조금
92,2019년,8,전주,19.7,18.2,27,0.0,구름많음
93,2019년,8,제주,18.4,18.3,44,0.0,구름많음
94,2019년,8,청주,20.7,19.3,30,0.0,구름많음
95,2019년,8,춘천,21.1,19.7,30,0.0,0.0
96,2019년,9,강릉,26.2,22.9,18,0.0,0.0
97,2019년,9,광주,21.8,19.2,19,0.0,구름조금
98,2019년,9,대구,22.6,19.6,17,0.0,구름많음
99,2019년,9,대전,22.3,20.4,26,0.0,구름많음
100,2019년,9,백령도,15.9,16.5,52,0.0,구름많음
101,2019년,9,부산,20.2,19.5,37,0.0,구름조금
102,2019년,9,서울,20.9,18.8,23,0.0,구름조금
103,2019년,9,울릉도,22.3,20.9,31,0.0,구름많음
104,2019년,9,전주,21.1,19.9,32,0.0,구름많음
105,2019년,9,제주,19.3,19.2,44,0.0,구름조금
106,2019년,9,청주,21.8,19.5,22,0.0,구름많음
107,2019년,9,춘천,21.8,20.4,31,0.0,0.0
108,2019년,10,강릉,26.9,23.6,19,0.0,0.0
109,2019년,10,광주,24.1,21.4,21,0.0,구름조금
110,2019년,10,대구,24.7,22.0,21,0.0,맑음
111,2019년,10,대전,23.8,22.1,29,0.0,맑음
112,2019년,10,백령도,11.6,15.0,99,0.0,박무
113,2019년,10,부산,21.8,20.5,32,0.0,구름조금
114,2019년,10,서울,23.5,21.9,30,0.0,연무
115,2019년,10,울릉도,23.8,22.2,30,0.0,맑음
116,2019년,10,전주,23.2,21.8,32,0.0,구름많음
117,2019년,10,제주,19.4,20.1,56,0.0,구름조금
118,2019년,10,청주,23.0,21.0,26,0.0,맑음
119,2019년,10,춘천,22.2,21.1,34,0.0,0.0
120,2019년,11,강릉,25.0,24.0,37,0.0,0.0
121,2019년,11,광주,24.7,23.2,32,0.0,맑음
122,2019년,11,대구,27.0,24.4,24,0.0,연무
123,2019년,11,대전,25.1,23.6,32,0.0,맑음
124,2019년,11,백령도,16.7,17.8,60,0.0,구름조금
125,2019년,11,부산,23.7,21.7,26,0.0,맑음
126,2019년,11,서울,24.8,23.3,32,0.0,연무
127,2019년,11,울릉도,21.8,21.1,38,0.0,연무
128,2019년,11,전주,23.2,22.9,44,0.0,맑음
129,2019년,11,제주,21.4,21.0,42,0.0,맑음
130,2019년,11,청주,25.1,23.0,27,0.0,맑음
131,2019년,11,춘천,25.4,24.3,36,0.0,0.0
132,2019년,12,강릉,14.9,17.0,76,0.0,0.0
133,2019년,12,광주,25.6,24.4,36,0.0,맑음
134,2019년,12,대구,23.9,22.3,30,0.0,구름많음
135,2019년,12,대전,26.2,25.5,41,0.0,흐림
136,2019년,12,백령도,19.0,17.0,21,0.0,맑음
137,2019년,12,부산,25.4,22.8,23,0.0,맑음
138,2019년,12,서울,25.6,23.8,30,0.0,구름많음
139,2019년,12,울릉도,20.1,21.3,63,0.0,구름많음
140,2019년,12,전주,24.7,24.5,46,0.0,구름조금
141,2019년,12,제주,19.1,20.5,66,0.0,맑음
142,2019년,12,청주,26.1,23.8,26,0.0,구름많음
143,2019년,12,춘천,23.7,23.2,42,0.0,0.0
144,2019년,13,강릉,18.3,19.8,67,0.0,0.0
145,2019년,13,광주,25.7,23.8,29,0.0,구름조금
146,2019년,13,대구,22.7,21.2,30,0.0,구름많음
147,2019년,13,대전,26.1,24.2,29,0.0,구름많음
148,2019년,13,백령도,11.7,15.1,99,3.8,약한 비 연속적
149,2019년,13,부산,20.0,21.4,65,0.0,구름조금
150,2019년,13,서울,22.2,21.2,35,0.0,흐림
151,2019년,13,울릉도,18.6,20.5,73,0.0,흐림
152,2019년,13,전주,26.5,24.8,31,0.0,구름조금
153,2019년,13,제주,22.2,23.5,64,0.0,흐림
154,2019년,13,청주,25.1,22.3,21,0.0,구름많음
155,2019년,13,춘천,20.4,21.0,54,0.0,0.0
156,2019년,14,강릉,20.3,21.7,66,0.0,0.0
157,2019년,14,광주,25.3,25.9,56,0.0,구름조금
158,2019년,14,대구,25.7,24.9,40,0.0,구름조금
159,2019년,14,대전,25.1,25.1,48,0.0,맑음
160,2019년,14,백령도,16.4,18.3,73,0.0,구름조금
161,2019년,14,부산,22.7,24.2,67,0.0,구름조금
162,2019년,14,서울,24.1,22.4,30,0.0,맑음
163,2019년,14,울릉도,19.8,21.7,73,0.0,구름많음
164,2019년,14,전주,25.5,26.5,60,0.0,맑음
165,2019년,14,제주,21.0,23.2,77,0.0,구름많음
166,2019년,14,청주,23.8,23.8,48,0.0,연무
167,2019년,14,춘천,23.5,22.4,35,0.0,0.0
168,2019년,15,강릉,20.6,22.0,66,0.0,0.0
169,2019년,15,광주,28.4,27.7,42,0.0,구름많음
170,2019년,15,대구,27.6,26.0,33,0.0,구름많음
171,2019년,15,대전,25.6,26.0,53,0.0,연무
172,2019년,15,백령도,16.1,18.9,87,0.0,구름조금
173,2019년,15,부산,24.1,24.8,57,0.0,구름많음
174,2019년,15,서울,24.4,23.2,35,0.0,연무
175,2019년,15,울릉도,21.5,23.5,74,0.0,구름많음
176,2019년,15,전주,26.6,26.4,46,0.0,구름조금
177,2019년,15,제주,22.1,23.7,69,0.0,구름많음
178,2019년,15,청주,25.1,25.1,48,0.0,연무
179,2019년,15,춘천,23.8,22.7,35,0.0,0.0
180,2019년,16,강릉,20.9,22.5,69,0.0,0.0
181,2019년,16,광주,27.7,26.6,38,0.0,구름조금
182,2019년,16,대구,27.3,25.9,35,0.0,구름조금
183,2019년,16,대전,27.9,27.2,42,0.0,맑음
184,2019년,16,백령도,20.0,20.4,51,0.0,맑음
185,2019년,16,부산,24.3,25.7,65,0.0,구름많음
186,2019년,16,서울,28.3,26.5,32,0.0,연무
187,2019년,16,울릉도,22.1,23.7,69,0.0,구름조금
188,2019년,16,전주,26.9,27.1,51,0.0,맑음
189,2019년,16,제주,26.2,26.3,50,0.0,구름많음
190,2019년,16,청주,28.3,26.7,33,0.0,맑음
191,2019년,16,춘천,26.8,25.9,39,0.0,0.0
192,2019년,17,강릉,28.4,27.2,37,0.0,0.0
193,2019년,17,광주,26.4,25.7,41,0.0,구름많음
194,2019년,17,대구,28.0,25.7,27,0.0,구름많음
195,2019년,17,대전,26.6,26.5,48,0.0,흐림
196,2019년,17,백령도,17.8,19.6,72,0.0,흐림
197,2019년,17,부산,22.8,24.3,67,0.0,구름많음
