,year,mytoday,city,nowTemp,sensTemp,humidity,precipitation,weatherInfo
0,2020년,1,강릉,29.9,28.2,33,0.0,0.0
1,2020년,1,광주,24.2,25.8,68,0.0,구름조금
2,2020년,1,대구,26.8,27.3,54,0.0,맑음
3,2020년,1,대전,26.3,26.6,52,0.0,맑음
4,2020년,1,백령도,11.9,15.3,100,0.0,보통 이슬비 연속적
5,2020년,1,부산,22.2,23.8,69,0.0,구름많음
6,2020년,1,서울,22.2,23.5,64,0.0,연무
7,2020년,1,울릉도,25.8,25.1,41,0.0,맑음
8,2020년,1,전주,27.6,27.4,47,0.0,맑음
9,2020년,1,제주,24.4,25.1,56,0.0,맑음
10,2020년,1,청주,25.6,25.7,50,0.0,맑음
11,2020년,1,춘천,22.9,23.6,56,0.0,0.0
12,2020년,2,강릉,27.3,27.3,49,0.0,0.0
13,2020년,2,광주,23.9,24.6,56,0.0,흐림
14,2020년,2,대구,25.9,26.7,58,0.0,구름많음
15,2020년,2,대전,25.3,25.9,55,0.0,구름많음
16,2020년,2,백령도,12.7,16.1,100,0.0,안개 변화없음
17,2020년,2,부산,20.2,22.5,79,0.0,구름많음
18,2020년,2,서울,22.2,24.4,77,0.0,박무
19,2020년,2,울릉도,24.9,25.4,54,0.0,흐림
20,2020년,2,전주,25.2,24.1,36,0.0,흐림
21,2020년,2,제주,18.8,21.3,83,0.0,흐림
22,2020년,2,청주,25.5,25.9,53,0.0,구름많음
23,2020년,2,춘천,21.3,23.5,77,0.0,0.0
24,2020년,3,강릉,24.0,24.7,56,0.0,0.0
25,2020년,3,광주,20.2,23.4,93,25.4,약한 비 단속적
26,2020년,3,대구,18.0,21.6,100,4.0,약한 비 연속적
27,2020년,3,대전,19.4,22.5,92,6.5,약한 비 연속적
28,2020년,3,백령도,20.7,22.6,73,0.0,구름많음
29,2020년,3,부산,16.2,19.3,92,8.7,약한 비 연속적
30,2020년,3,서울,24.8,25.1,52,0.0,구름많음
