,year,mytoday,city,nowTemp,sensTemp,humidity,precipitation,weatherInfo
0,2021년,1,강릉,11.6,14.2,85,5.8,0.0
1,2021년,1,광주,11.3,13.1,71,12.8,흐림
2,2021년,1,대구,13.3,15.3,75,3.7,약한 비 단속적
3,2021년,1,대전,10.7,12.9,78,0.2,비 끝
4,2021년,1,백령도,10.6,12.9,81,0.0,구름많음
5,2021년,1,부산,13.7,15.5,72,11.5,흐림
6,2021년,1,서울,13.5,14.1,50,0.3,구름많음
7,2021년,1,울릉도,10.8,14.0,96,13.7,약한 비 연속적
8,2021년,1,전주,10.7,12.7,74,3.8,비 끝
9,2021년,1,제주,15.3,16.5,61,10.1,맑음
10,2021년,1,청주,11.3,12.8,65,0.1,비 끝
11,2021년,1,춘천,11.5,13.8,81,5.5,0.0
12,2021년,2,강릉,17.2,16.4,33,13.0,0.0
13,2021년,2,광주,13.9,14.6,53,0.0,구름많음
14,2021년,2,대구,16.0,16.8,55,0.5,구름많음
15,2021년,2,대전,16.0,16.7,54,2.6,구름조금
16,2021년,2,백령도,12.1,14.1,75,0.0,맑음
17,2021년,2,부산,14.8,15.5,53,0.3,구름많음
18,2021년,2,서울,15.6,16.3,53,1.7,맑음
19,2021년,2,울릉도,12.4,14.1,70,4.6,구름많음
20,2021년,2,전주,13.3,14.4,59,0.4,구름많음
21,2021년,2,제주,15.5,16.4,57,0.0,구름많음
22,2021년,2,청주,15.8,16.3,50,3.2,구름조금
23,2021년,2,춘천,15.9,16.5,52,0.0,0.0
24,2021년,3,강릉,22.8,20.5,23,0.0,0.0
25,2021년,3,광주,20.5,20.1,41,0.0,맑음
26,2021년,3,대구,20.6,20.4,44,0.0,맑음
27,2021년,3,대전,19.9,19.1,36,0.0,맑음
28,2021년,3,백령도,14.6,15.5,57,0.0,구름조금
29,2021년,3,부산,18.3,18.9,54,0.0,맑음
30,2021년,3,서울,17.9,17.5,39,0.0,맑음
31,2021년,3,울릉도,19.9,19.3,38,0.0,맑음
32,2021년,3,전주,19.3,18.8,39,0.0,맑음
33,2021년,3,제주,17.4,19.0,68,0.0,구름조금
34,2021년,3,청주,18.2,17.3,33,0.0,맑음
35,2021년,3,춘천,18.1,17.6,38,0.0,0.0
36,2021년,4,강릉,21.3,21.0,43,0.0,0.0
37,2021년,4,광주,20.6,22.4,71,0.0,흐림
38,2021년,4,대구,19.1,21.0,73,0.0,흐림
39,2021년,4,대전,20.6,21.3,56,0.0,흐림
40,2021년,4,백령도,12.3,15.7,99,5.7,약한 비 연속적
41,2021년,4,부산,17.2,19.8,84,0.0,흐림
42,2021년,4,서울,13.8,16.2,82,1.5,약한 비 단속적
43,2021년,4,울릉도,17.9,19.7,72,0.0,구름많음
44,2021년,4,전주,21.2,22.4,63,0.0,비 끝
45,2021년,4,제주,21.0,22.8,72,0.0,약한 비 단속적
46,2021년,4,청주,20.1,20.2,48,0.0,흐림
47,2021년,4,춘천,11.7,14.3,85,3.6,0.0
48,2021년,5,강릉,19.8,19.2,38,3.5,0.0
49,2021년,5,광주,19.2,19.0,43,0.0,맑음
50,2021년,5,대구,23.4,22.1,33,1.2,구름조금
51,2021년,5,대전,19.1,18.6,39,2.3,맑음
52,2021년,5,백령도,14.6,14.8,45,0.0,맑음
53,2021년,5,부산,22.1,20.3,27,6.0,맑음
54,2021년,5,서울,17.0,17.8,56,0.1,맑음
55,2021년,5,울릉도,18.0,20.0,74,0.7,구름많음
56,2021년,5,전주,17.1,17.9,56,0.2,맑음
57,2021년,5,제주,21.1,18.9,22,0.0,맑음
58,2021년,5,청주,19.2,17.9,29,0.8,맑음
59,2021년,5,춘천,17.5,17.4,43,2.4,0.0
60,2021년,6,강릉,25.0,22.3,22,0.0,0.0
61,2021년,6,광주,21.6,19.7,25,0.0,구름많음
62,2021년,6,대구,22.4,21.7,39,0.0,구름조금
63,2021년,6,대전,21.4,19.7,27,0.0,흐림
64,2021년,6,백령도,14.5,16.9,82,0.0,박무
65,2021년,6,부산,21.2,18.9,21,0.0,흐림
66,2021년,6,서울,20.4,19.3,33,0.0,구름많음
67,2021년,6,울릉도,19.1,18.8,42,0.0,구름많음
